PATIENT,The letter 's' followed by a randomly-assigned six-digit number.
MANUALLY_REVIEWED_1yes_0no,"Did the authors manually review the patient's electronic medical record? Values are either 1 (yes) or 0 (no). If a patient's value for this column is 0, then expect several subsequent columns -- those based on manual review -- to have a value of NA (unknown / data not available)."
AGE,"ORIGINAL DESCRIPTION: This is the patient's age on the first clinical encounter (between 2020-AUG and 2022-JUL) with author D.B. THIS WAS REVISED TO BINNED AGE FOR DRYAD: ""18_24"" indicates age between 18 and 24 years, inclusive. ""25_29"" indicates age between 25 and 29 years, and so on. For patient records undergoing manual review, we also stored the age at the time of the index event (which need not have happened on the first clinical encounter with D.B.). However, once ages were binned, we found no differences between that manually-derived value and the value obtained from automated data extraction. "
AUTO_LEGAL_SEX,"Based on automated data extraction from the electronic medical record, what was the patient's ""legal sex"". All values were either M (man/male) or W (woman/female). Upon manual chart review, there were three cases where the self-identified sex somehow mismatched the automated data extraction (in two of the three, ""Other"" was listed instead of man/male or woman/female). Adhering to Dryad's policy on limiting the number of indirect identifiers of patients (""Sexual attitudes, practices, or orientation"" is an indirect identifier), those three records are not highlighted in this repository."
RACE_ETHNICITY,"Values for race and ethnicity are here concatenated (with a separating underscore) into a single entry. Where available, we base this on manual chart review. Race options were either AA (African American or Black), AI (American Indian or Alaska Native), AS (Asian), NH (Native Hawaiian or other Pacific Islander), W (White), O (Other), or NA (unknown / data not available).  Ethnicity options are either 1 (""Hispanic or Latino""), 0 (""Not Hispanic or Latino""), or NA (unknown / data not available). Thus, a patient self-identifying as ""non-Hispanic White"" would have a entry of W_0. A different patient identifying as ""Hispanic Other"" would have an entry of O_1. If neither race nor ethnicity are known, the entry is NA_NA."
YR_EDU,"ORIGINAL DESCRIPTION: Where available, we base this on manual chart review. A number describing patient's level of educational achievement. If a neuropsychologist’s report is available, this number is used. If not, but level of education was reported in a neurologist's (typically author D.B.'s) report, that number is used. Non-integers are thereby allowed (e.g., ""I took one semester of college"" could be coded by a clinician as 12.5 years). If not, other numerical report of level of education is used. If, instead, a statement of level of education is available, it is converted to numbers in the following way: If a patient did not graduate high school, then the last grade completed is the number (e.g., ""completed 8th grade"" is represented by an 8). If the patient had a GED or high school diploma the value is 12. If the patient was said to have “some college but no degree”, the value is 13. A single highest degree is coded as follows; Associate's (14), Bachelor's (16), Master's (18), PhD or professional degree (20). An extra year was added to the value if there were two equal ""highest degrees"" (e.g., if a patient earned two Associate's degrees, the value would be 15; for two Master’s degrees, the value would be 19). Military experience is not counted in this number. If there was insufficient information to judge years of education (e.g., ""retired nurse"" could cover a wide range of education levels), then the value is NA (unknown/ data not available). THIS WAS REVISED TO BINNED YEARS OF EDUCATION FOR DRYAD: Based on the numbers detailed in the original description, this was binned in the following way: ""under_12"" means < 12 yr of education (less than high school graduate or GED). ""12_13"" means someone who obtained 12-13.9 years of education (generally represents someone who is a high school graduate or obtained a GED, and may or may not have attended some college, but obtained no post-secondary degree). ""14_15"" means someone who obtained 14-15.9 years of education (generally represents someone who obtained an Associate’s degree, but not a Bachelor’s degree). ""16_17"" means someone who obtained 16-17.9 years of education (generally represents someone who obtained a Bachelor’s degree, but not a Master’s degree or higher). ""18_19"" indicates someone who obtained 18-19.9 years of education (generally represents someone who obtained a Master’s degree, but no PhD nor professional degree). ""20_or_more"" means someone who obtained ≥ 20 years of education (generally represents a PhD or professional degree)."
AUTO_ALZHEIMERS_INITIAL_VISIT_1yes_0no,"Based on automated data extraction from the electronic medical record, for the first clinical encounter (between 2020-AUG and 2022-JUL) with author D.B., does an ICD10 code attached to that encounter affirmatively label the patient as having Alzheimer's? This was captured by G30.0, G30.1, and G30.9.  Values are either 1 (yes) or 0 (no). The initial automated search flagged any ICD10 associated with the word ""Alzheimer"", also capturing Z82.0 -- family history of Alzheimer's disease -- which was ignored when assigning a value for this column. Because ICD10 code assignment is not exhaustive, a value of 0 does not mean the absence of Alzheimer's, and a value of 1 does not imply the absence of other etiologies. "
AUTO_DEMENTIA_INITIAL_VISIT_1yes_0no,"Based on automated data extraction from the electronic medical record, for the first clinical encounter (between 2020-AUG and 2022-JUL) with author D.B., does an ICD10 code attached to that encounter affirmatively label the patient as having ""dementia""? This was captured by F01.5, F02.8, or F03.9. Two instances of Z81.8 (family history of dementia) from the automated search were ignored.  Values are either 1 (yes) or 0 (no). Because ICD10 code assignment is not exhaustive, a value of 0 does not mean the absence of dementia. "
INDEX_EVENT,"Values are either MMSE (Mini Mental State Exam), MoCA (Montreal Cognitive Assessment), SATURN (Self-Administered Tasks Uncovering Risk of Neurodegeneration), or SLUMS (St. Louis University Mental Status exam), depending the test(s) used on encounter(s) between 2020-AUG and 2022-JUL with author D.B. If SATURN was used, then the first time that SATURN was used is the index event (warranting a value of ""SATURN""). If SATURN was not used, then the first time author D.B. administered either the MoCA, MMSE, or SLUMS (whichever came first) is the index event. If author D.B. never tested the patient with SATURN, MoCA, MMSE, or SLUMS between 2020-AUG and 2022-JUL, then the value is ""NA"" (unknown / data not available) and subsequent columns offer additional information. If the chart was not manually reviewed at all (see MANUALLY_REVIEWED_1yes_0no column) then the value for this columns is NA (unknown / data not available), as are the values for subsequent columns. In rare cases where two tests are performed on day of the index event, then (a) if SATURN was one of those tests, the value for this column is ""SATURN"", and (b) if SATURN was not used, whichever test shows up first in the physician's note is listed (as for s441322)."
NO_INDEX__NO_COGNITIVE_COMPLAINT,"If the chart was not manually reviewed, the value is ""NA"". If the author D.B. tested the patient with SATURN, MoCA, MMSE, or SLUMS between 2020-AUG and 2022-JUL, then the value is ""NA"". For all other cases, the value is either 1 (neither the patient, nor any accompanying informants (if present), has cognitive complaints nor concerns), or 0 (there are cognitive complaints or concerns). A value of ""1"" implies a misdirected referral. "
NO_INDEX__MODERATE_OR_SEVERE_DEMENTIA,"If the chart was not manually reviewed, the value is ""NA"". If the author D.B. tested the patient with SATURN, MoCA, MMSE, or SLUMS between 2020-AUG and 2022-JUL, then the value is ""NA"". For all other cases, the value is either 1 (yes, testing the patient with either the SATURN, MoCA, MMSE, or SLUMS  was not performed because it would have negligible value in the setting the patient's profound impairment due to moderate- or severe-stage dementia), or 0 (no, there was some other reason testing with SATURN, MoCA, etc., was not done). "
NO_INDEX__BUT_SAGE_OR_SHORTBLESSEDTEST,"If the chart was not manually reviewed, the value is ""NA"". If the author D.B. tested the patient with SATURN, MoCA, MMSE, or SLUMS between 2020-AUG and 2022-JUL, then the value is ""NA"". For all other cases, the value is either 1 (yes, the author D.B. tested the patient with the Self-Administered Gerocognitive Exam (SAGE) or the Short Blessed Test between 2020-AUG and 2022-JUL), or 0 (no, neither the SAGE nor the Short Blessed Test were used). "
NO_INDEX__PROMINENT_APHASIA,"If the chart was not manually reviewed, the value is ""NA"". If the author D.B. tested the patient with SATURN, MoCA, MMSE, or SLUMS between 2020-AUG and 2022-JUL, then the value is ""NA"". For all other cases, the value is either 1 (yes, the patient had such prominent aphasia that testing with MoCA, MMSE, or SLUMS was not performed because the aphasia would so deeply undermine performance), or 0 (no, there was no prominent aphasia that would interfere with testing). "
NO_INDEX__SENSORY_LOSS,"If the chart was not manually reviewed, the value is ""NA"". If the author D.B. tested the patient with SATURN, MoCA, MMSE, or SLUMS between 2020-AUG and 2022-JUL, then the value is ""NA"". For all other cases, the value is either 1 (yes, the patient had such sensory loss (hearing/vision/both) that testing with MoCA, MMSE, or SLUMS was not performed because the sensory loss would so deeply undermine performance), or 0 (no, there was no prominent sensory loss that would interfere with testing). "
NO_INDEX__OTHER_TESTING,"If the chart was not manually reviewed, the value is ""NA"". If the author D.B. tested the patient with SATURN, MoCA, MMSE, or SLUMS between 2020-AUG and 2022-JUL, then the value is ""NA"". For all other cases, the value is either 1 (yes, testing with MoCA, MMSE, or SLUMS was skipped because recent testing of adequate depth and quality was already performed by another provider, or soon would be), or 0 (no, recent or planned testing by another provider was not a factor in deciding to skip testing with MoCA, MMSE, or SLUMS). "
